symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,date
AAON,AAON Inc. Common Stock,$82.06,2.16,2.703%,926541,6695873535,United States,NA,Industrial Machinery/Components,Industrials,/market-activity/stocks/aaon,2025-04-24
AAP,Advance Auto Parts Inc.,$32.74,-0.2,-0.607%,2124868,1957621052,United States,NA,Auto & Home Supply Stores,Consumer Discretionary,/market-activity/stocks/aap,2025-04-24
AAPG,Ascentage Pharma Group International American Depository Shares,$23.90,2.3,10.648%,54300,2080892816,China,2025,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aapg,2025-04-24
AAPL,Apple Inc. Common Stock,$204.60,4.86,2.433%,52929165,3073516135800,United States,1980,Computer Manufacturing,Technology,/market-activity/stocks/aapl,2025-04-24
AARD,Aardvark Therapeutics Inc. Common Stock,$8.52,0.86,11.227%,93383,184849238,United States,2025,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aard,2025-04-24
AAT,American Assets Trust Inc. Common Stock,$19.02,0.08,0.422%,333126,1162849287,United States,2011,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/aat,2025-04-24
AB,AllianceBernstein Holding L.P.  Units,$36.83,-0.17,-0.459%,552607,4070832017,United States,NA,Investment Managers,Finance,/market-activity/stocks/ab,2025-04-24
ABAT,American Battery Technology Company Common Stock,$1.11,0.04,3.738%,654725,93970391,United States,NA,Metal Mining,Basic Materials,/market-activity/stocks/abat,2025-04-24
ABBV,AbbVie Inc. Common Stock,$177.05,3.27,1.882%,7119729,312556077786,United States,2012,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abbv,2025-04-24
ABCB,Ameris Bancorp Common Stock,$55.51,1.5,2.777%,672439,3833998486,United States,1994,Major Banks,Finance,/market-activity/stocks/abcb,2025-04-24
ABCL,AbCellera Biologics Inc. Common Shares,$2.53,0.01,0.397%,4427997,745503796,Canada,2020,Pharmaceuticals and Biotechnology,Health Care,/market-activity/stocks/abcl,2025-04-24
ABEO,Abeona Therapeutics Inc. Common Stock,$5.22,-0.06,-1.136%,1611692,253346426,United States,NA,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abeo,2025-04-24
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.45,0.02,0.823%,61475130,38358570101,Brazil,2013,Beverages (Production/Distribution),Consumer Staples,/market-activity/stocks/abev,2025-04-24
ABG,Asbury Automotive Group Inc Common Stock,$219.31,-3.69,-1.655%,194336,4308442982,United States,2002,Retail-Auto Dealers and Gas Stations,Consumer Discretionary,/market-activity/stocks/abg,2025-04-24
ABL,Abacus Global Management Inc. Class A Common Stock,$8.30,0.165,2.028%,403107,803880224,United States,2020,Investment Managers,Finance,/market-activity/stocks/abl,2025-04-24
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,$25.6299,0.0199,0.078%,14492,1913306558,United States,NA,Investment Managers,Finance,/market-activity/stocks/ablll,2025-04-24
ABLLW,Abacus Global Management Inc. Warrant,$1.65,0.04,2.484%,4001,159807514,United States,2020,Investment Managers,Finance,/market-activity/stocks/abllw,2025-04-24
ABLV,Able View Global Inc. Class B Ordinary Shares,$1.14,0.0719,6.732%,9115,48289526,China,NA,Other Consumer Services,Consumer Discretionary,/market-activity/stocks/ablv,2025-04-24
ABM,ABM Industries Incorporated Common Stock,$48.40,1.13,2.391%,612345,3012001551,United States,NA,Diversified Commercial Services,Finance,/market-activity/stocks/abm,2025-04-24
ABNB,Airbnb Inc. Class A Common Stock,$118.28,3.37,2.933%,5183356,74580223770,United States,2020,Diversified Commercial Services,Finance,/market-activity/stocks/abnb,2025-04-24
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$1.02,0.0379,3.859%,356455,61784894,United States,2021,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/abos,2025-04-24
ABP,Abpro Holdings Inc Common Stock,$0.3242,0.0572,21.423%,267061,16929522,United States,2022,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abp,2025-04-24
ABPWW,Abpro Holdings Inc. Warrant,$0.0202,-0.0055,-21.401%,34619,1054831,United States,2022,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abpww,2025-04-24
ABR,Arbor Realty Trust Common Stock,$11.31,0.09,0.802%,2623846,2143306323,United States,2004,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/abr,2025-04-24
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,$17.24,0.0899,0.524%,11518,NA,United States,NA,NA,NA,/market-activity/stocks/abr^d,2025-04-24
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,$16.61,0.08,0.484%,10305,NA,United States,NA,NA,NA,/market-activity/stocks/abr^e,2025-04-24
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,$20.57,0.2929,1.444%,7694,NA,United States,NA,NA,NA,/market-activity/stocks/abr^f,2025-04-24
ABSI,Absci Corporation Common Stock,$3.19,-0.02,-0.623%,2604479,406195100,United States,2021,Biotechnology: Commercial Physical & Biological Resarch,Health Care,/market-activity/stocks/absi,2025-04-24
ABT,Abbott Laboratories Common Stock,$129.84,-1.89,-1.435%,8777184,225184551684,United States,NA,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abt,2025-04-24
ABTS,Abits Group Inc Ordinary Shares,$2.5699,0.3199,14.218%,46543,6091465,China,NA,Computer Software: Programming Data Processing,Technology,/market-activity/stocks/abts,2025-04-24
ABUS,Arbutus Biopharma Corporation Common Stock,$3.24,0.05,1.567%,544026,620395809,Canada,NA,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abus,2025-04-24
ABVC,ABVC BioPharma Inc. Common Stock,$0.876,0.0445,5.352%,124894,13821795,United States,NA,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abvc,2025-04-24
ABVE,Above Food Ingredients Inc. Common Stock,$0.5431,0.0051,0.948%,250849,15100682,Canada,NA,Packaged Foods,Consumer Staples,/market-activity/stocks/abve,2025-04-24
ABVEW,Above Food Ingredients Inc. Warrants,$0.0226,3e-4,1.345%,29225,628384,Canada,NA,Packaged Foods,Consumer Staples,/market-activity/stocks/abvew,2025-04-24
ABVX,Abivax SA American Depositary Shares,$6.765,0.265,4.077%,230909,428787977,France,2023,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abvx,2025-04-24
AC,Associated Capital Group Inc. Common Stock,$34.64,0.69,2.032%,6957,732720175,United States,2015,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/ac,2025-04-24
ACA,Arcosa Inc. Common Stock,$78.27,1.54,2.007%,284315,3817699164,United States,2018,Metal Fabrications,Industrials,/market-activity/stocks/aca,2025-04-24
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$14.62,0.27,1.882%,1569604,2438448119,United States,1985,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acad,2025-04-24
ACB,Aurora Cannabis Inc. Common Shares,$4.40,0.14,3.286%,1018025,240507419,Canada,NA,Medicinal Chemicals and Botanical Products,Health Care,/market-activity/stocks/acb,2025-04-24
ACCO,Acco Brands Corporation Common Stock,$3.76,-0.01,-0.265%,598521,349232590,United States,NA,Publishing,Consumer Discretionary,/market-activity/stocks/acco,2025-04-24
ACCS,ACCESS Newswire Inc. Common Stock,$8.65,0.3,3.593%,11176,33205127,United States,NA,Publishing,Consumer Discretionary,/market-activity/stocks/accs,2025-04-24
ACDC,ProFrac Holding Corp. Class A Common Stock,$4.60,-0.17,-3.564%,668750,736820787,United States,2022,Oilfield Services/Equipment,Energy,/market-activity/stocks/acdc,2025-04-24
ACEL,Accel Entertainment Inc.,$11.17,-0.13,-1.15%,512346,955717185,United States,2017,Services-Misc. Amusement & Recreation,Consumer Discretionary,/market-activity/stocks/acel,2025-04-24
ACET,Adicet Bio Inc. Common Stock,$0.6014,0.0197,3.387%,177358,49727210,United States,2018,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acet,2025-04-24
ACGL,Arch Capital Group Ltd. Common Stock,$92.51,-0.44,-0.473%,1108292,34724297902,Bermuda,NA,Property-Casualty Insurers,Finance,/market-activity/stocks/acgl,2025-04-24
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$17.12,0.14,0.824%,22352,6426115880,Bermuda,NA,Property-Casualty Insurers,Finance,/market-activity/stocks/acgln,2025-04-24
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$20.65,0.31,1.524%,14533,7751126923,Bermuda,NA,Property-Casualty Insurers,Finance,/market-activity/stocks/acglo,2025-04-24
ACHC,Acadia Healthcare Company Inc. Common Stock,$21.20,0.6,2.913%,4209325,1969756490,United States,NA,Medical Specialities,Health Care,/market-activity/stocks/achc,2025-04-24
ACHR,Archer Aviation Inc. Class A Common Stock,$8.05,0.71,9.673%,26931720,4366885625,United States,2020,Aerospace,Industrials,/market-activity/stocks/achr,2025-04-24
ACHV,Achieve Life Sciences Inc. Common Shares,$2.43,-0.05,-2.016%,338626,84284725,United States,NA,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,/market-activity/stocks/achv,2025-04-24
ACI,Albertsons Companies Inc. Class A Common Stock,$22.41,-0.11,-0.488%,6832138,12983890718,United States,2020,Food Chains,Consumer Staples,/market-activity/stocks/aci,2025-04-24
ACIC,American Coastal Insurance Corporation Common Stock,$11.16,-0.02,-0.179%,234308,538454711,United States,NA,Property-Casualty Insurers,Finance,/market-activity/stocks/acic,2025-04-24
ACIU,AC Immune SA Common Stock,$1.58,0.08,5.333%,204040,158648396,Switzerland,2016,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aciu,2025-04-24
ACIW,ACI Worldwide Inc. Common Stock,$51.65,0.59,1.156%,607654,5440605846,United States,NA,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/aciw,2025-04-24
ACLS,Axcelis Technologies Inc. Common Stock,$45.94,0.84,1.863%,523369,1477161146,United States,2000,Industrial Machinery/Components,Technology,/market-activity/stocks/acls,2025-04-24
ACLX,Arcellx Inc. Common Stock,$63.63,0.51,0.808%,313629,3496087484,United States,2022,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/aclx,2025-04-24
ACM,AECOM Common Stock,$95.20,1.2,1.277%,724249,12632054680,United States,2007,Military/Government/Technical,Consumer Discretionary,/market-activity/stocks/acm,2025-04-24
ACMR,ACM Research Inc. Class A Common Stock,$19.73,1.28,6.938%,2101037,1245549060,United States,2017,Industrial Machinery/Components,Technology,/market-activity/stocks/acmr,2025-04-24
ACN,Accenture plc Class A Ordinary Shares (Ireland),$288.16,4.2,1.479%,2763053,195567354251,Ireland,2001,Business Services,Consumer Discretionary,/market-activity/stocks/acn,2025-04-24
ACNB,ACNB Corporation Common Stock,$41.66,0.305,0.738%,32425,439210215,United States,NA,Major Banks,Finance,/market-activity/stocks/acnb,2025-04-24
ACNT,Ascent Industries Co. Common Stock,$12.85,0.11,0.863%,73184,129509149,United States,NA,Steel/Iron Ore,Industrials,/market-activity/stocks/acnt,2025-04-24
ACOG,Alpha Cognition Inc. Common Stock,$4.92,0.36,7.895%,153283,78817352,Canada,NA,NA,NA,/market-activity/stocks/acog,2025-04-24
ACON,Aclarion Inc. Common Stock,$7.70,0.19,2.53%,40529,4484257,United States,2022,Medical Specialities,Health Care,/market-activity/stocks/acon,2025-04-24
ACONW,Aclarion Inc. Warrant,$0.04,-0.005,-11.111%,6820,23295,United States,2022,Medical Specialities,Health Care,/market-activity/stocks/aconw,2025-04-24
ACP,abrdn Income Credit Strategies Fund Common Shares,$5.48,-0.06,-1.083%,957852,0,United States,2011,Investment Managers,Finance,/market-activity/stocks/acp,2025-04-24
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$21.36,0.14,0.66%,645,NA,United States,NA,NA,NA,/market-activity/stocks/acp^a,2025-04-24
ACR,ACRES Commercial Realty Corp. Common Stock,$17.50,-0.03,-0.171%,26429,130482625,United States,NA,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/acr,2025-04-24
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,$23.97,0.07,0.293%,2318,NA,United States,NA,NA,NA,/market-activity/stocks/acr^c,2025-04-24
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$20.5408,0.2808,1.386%,4087,NA,United States,NA,NA,NA,/market-activity/stocks/acr^d,2025-04-24
ACRE,Ares Commercial Real Estate Corporation Common Stock,$3.77,-0.12,-3.085%,440796,206810803,United States,2012,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/acre,2025-04-24
ACRS,Aclaris Therapeutics Inc. Common Stock,$1.19,0.09,8.182%,1192966,128423397,United States,2015,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acrs,2025-04-24
ACRV,Acrivon Therapeutics Inc. Common Stock,$2.00,-0.03,-1.478%,227591,62702960,United States,2022,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acrv,2025-04-24
ACT,Enact Holdings Inc. Common Stock,$35.23,-0.11,-0.311%,476328,5350808250,United States,2021,Specialty Insurers,Finance,/market-activity/stocks/act,2025-04-24
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$2.98,0.05,1.706%,157647,286336399,United States,NA,Multi-Sector Companies,Miscellaneous,/market-activity/stocks/actg,2025-04-24
ACTU,Actuate Therapeutics Inc. Common stock,$9.00,0.48,5.634%,96486,175784724,United States,2024,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/actu,2025-04-24
ACU,Acme United Corporation. Common Stock,$42.40,1.51,3.693%,31003,159190715,United States,1988,Industrial Machinery/Components,Consumer Discretionary,/market-activity/stocks/acu,2025-04-24
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$19.56,0.35,1.822%,22538,202699380,United States,2015,Finance/Investors Services,Finance,/market-activity/stocks/acv,2025-04-24
ACVA,ACV Auctions Inc. Class A Common Stock,$14.44,0.13,0.908%,1246208,2436969011,United States,2025,Business Services,Consumer Discretionary,/market-activity/stocks/acva,2025-04-24
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$0.387,0.0103,2.734%,82055,8530452,United States,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acxp,2025-04-24
ADAG,Adagene Inc. American Depositary Shares,$1.48,0.03,2.069%,1259,87152677,China,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adag,2025-04-24
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$0.2602,-0.0021,-0.801%,694690,401590506,United Kingdom,2015,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/adap,2025-04-24
ADBE,Adobe Inc. Common Stock,$351.96,2.05,0.586%,3167958,150146136000,United States,1986,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/adbe,2025-04-24
ADC,Agree Realty Corporation Common Stock,$77.22,-1.9,-2.401%,2689194,8281745000,United States,NA,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/adc,2025-04-24
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,$17.36,0.19,1.107%,22639,NA,United States,NA,NA,NA,/market-activity/stocks/adc^a,2025-04-24
ADCT,ADC Therapeutics SA Common Shares,$1.29,0.06,4.878%,399258,127818151,Switzerland,2020,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adct,2025-04-24
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,$0.725,0.0056,0.778%,1367489,445612,United States,NA,Engineering & Construction,Consumer Discretionary,/market-activity/stocks/add,2025-04-24
ADEA,Adeia Inc. Common Stock,$11.97,0.2,1.699%,482350,1286882622,United States,2003,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/adea,2025-04-24
ADGM,Adagio Medical Holdings Inc Common Stock,$1.11,0.11,11.00%,1153732,17073537,United States,NA,Medical/Dental Instruments,Health Care,/market-activity/stocks/adgm,2025-04-24
ADI,Analog Devices Inc. Common Stock,$183.11,4.61,2.583%,4323335,90818253802,United States,NA,Semiconductors,Technology,/market-activity/stocks/adi,2025-04-24
ADIL,Adial Pharmaceuticals Inc Common Stock,$0.7001,0.0223,3.29%,36607,4602869,United States,2018,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adil,2025-04-24
ADM,Archer-Daniels-Midland Company Common Stock,$48.12,-0.42,-0.865%,2203008,23083504257,United States,NA,Packaged Foods,Consumer Staples,/market-activity/stocks/adm,2025-04-24
ADMA,ADMA Biologics Inc Common Stock,$21.73,0.34,1.59%,3108703,5163376123,United States,NA,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/adma,2025-04-24
ADN,Advent Technologies Holdings Inc. Class A Common Stock,$2.12,-0.1694,-7.399%,42738,5589397,United States,2018,Industrial Machinery/Components,Miscellaneous,/market-activity/stocks/adn,2025-04-24
ADNT,Adient plc Ordinary Shares,$12.20,0.19,1.582%,1106047,1023915659,United States,2016,Auto Parts:O.E.M.,Consumer Discretionary,/market-activity/stocks/adnt,2025-04-24
ADNWW,Advent Technologies Holdings Inc. Warrant,$0.007,-0.002,-22.222%,222513,18456,United States,2018,Industrial Machinery/Components,Miscellaneous,/market-activity/stocks/adnww,2025-04-24
ADP,Automatic Data Processing Inc. Common Stock,$293.54,0.65,0.222%,1636120,119432881931,United States,NA,EDP Services,Technology,/market-activity/stocks/adp,2025-04-24
ADPT,Adaptive Biotechnologies Corporation Common Stock,$7.38,0.37,5.278%,1886370,1096536643,United States,2019,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/adpt,2025-04-24
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$12.77,-0.03,-0.234%,65162,645967424,Ireland,NA,Industrial Specialties,Consumer Discretionary,/market-activity/stocks/adse,2025-04-24
ADSEW,ADS-TEC ENERGY PLC Warrant,$2.08,-0.2,-8.772%,6680,105216307,Ireland,NA,Industrial Specialties,Consumer Discretionary,/market-activity/stocks/adsew,2025-04-24
ADSK,Autodesk Inc. Common Stock,$264.44,3.3,1.264%,1021885,56854600000,United States,NA,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/adsk,2025-04-24
ADT,ADT Inc. Common Stock,$7.91,0.06,0.764%,20327628,6933140795,United States,2018,Diversified Commercial Services,Consumer Discretionary,/market-activity/stocks/adt,2025-04-24
ADTN,ADTRAN Holdings Inc. Common Stock,$7.51,0.04,0.535%,783481,599748848,United States,1994,Telecommunications Equipment,Utilities,/market-activity/stocks/adtn,2025-04-24
ADTX,Aditxt Inc. Common Stock,$2.31,0,0.00%,111567,2677752,United States,2020,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adtx,2025-04-24
ADUR,Aduro Clean Technologies Inc. Common Stock,$4.28,-0.0814,-1.866%,45976,122222269,Canada,NA,NA,NA,/market-activity/stocks/adur,2025-04-24
ADUS,Addus HomeCare Corporation Common Stock,$98.86,0.82,0.836%,148214,1796569434,United States,2009,Medical/Nursing Services,Health Care,/market-activity/stocks/adus,2025-04-24
ADV,Advantage Solutions Inc. Class A Common Stock,$1.31,0.02,1.55%,387412,421045601,United States,2019,Business Services,Consumer Discretionary,/market-activity/stocks/adv,2025-04-24
ADVB,Advanced Biomed Inc. Common Stock,$1.90,0.13,7.345%,9982,41116000,Taiwan,2025,Medical Specialities,Health Care,/market-activity/stocks/advb,2025-04-24
ADVM,Adverum Biotechnologies Inc. Common Stock,$2.85,-0.11,-3.716%,352365,59538039,United States,2014,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/advm,2025-04-24
ADVWW,Advantage Solutions Inc. Warrant,$0.0125,1e-4,0.806%,11845,4017611,United States,2019,Business Services,Consumer Discretionary,/market-activity/stocks/advww,2025-04-24
ADX,Adams Diversified Equity Fund Inc.,$18.60,0.49,2.706%,333463,0,United States,NA,Investment Managers,Finance,/market-activity/stocks/adx,2025-04-24
ADXN,Addex Therapeutics Ltd American Depositary Shares,$7.60,-0.035,-0.458%,826,7929042,Switzerland,NA,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adxn,2025-04-24
AEE,Ameren Corporation Common Stock,$98.63,-0.52,-0.524%,1055015,26620853635,United States,NA,Power Generation,Utilities,/market-activity/stocks/aee,2025-04-24
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$4.97,0.045,0.914%,141523,533591625,United States,NA,Finance/Investors Services,Finance,/market-activity/stocks/aef,2025-04-24
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,$19.96,0.17,0.859%,23811,0,United States,2019,NA,NA,/market-activity/stocks/aefc,2025-04-24
AEG,Aegon Ltd. New York Registry Shares,$6.36,0.12,1.923%,15146197,12759338076,Netherlands,NA,Life Insurance,Finance,/market-activity/stocks/aeg,2025-04-24
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,$2.93,-0.17,-5.484%,603045,3034753,China,NA,Building Materials,Industrials,/market-activity/stocks/aehl,2025-04-24
AEHR,Aehr Test Systems Common Stock,$8.12,-0.18,-2.169%,790182,241743849,United States,1997,Electrical Products,Industrials,/market-activity/stocks/aehr,2025-04-24
AEI,Alset Inc. Common Stock (TX),$0.92,-0.0257,-2.718%,10117,9876309,United States,2020,Real Estate,Finance,/market-activity/stocks/aei,2025-04-24
AEIS,Advanced Energy Industries Inc. Common Stock,$91.49,3.38,3.836%,275509,3451155680,United States,1995,Industrial Machinery/Components,Technology,/market-activity/stocks/aeis,2025-04-24
AEM,Agnico Eagle Mines Limited Common Stock,$118.24,-2.86,-2.362%,7322117,59491756137,Canada,NA,Precious Metals,Basic Materials,/market-activity/stocks/aem,2025-04-24
AEMD,Aethlon Medical Inc. Common Stock,$0.38,0.022,6.145%,50044,5493696,United States,NA,Medical/Dental Instruments,Health Care,/market-activity/stocks/aemd,2025-04-24
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,$3.09,0.19,6.552%,15168,157458273,United States,NA,Durable Goods,Consumer Discretionary,/market-activity/stocks/aent,2025-04-24
AENTW,Alliance Entertainment Holding Corporation Warrants,$0.2299,0.0631,37.83%,9800,11715099,United States,NA,Durable Goods,Consumer Discretionary,/market-activity/stocks/aentw,2025-04-24
AEO,American Eagle Outfitters Inc. Common Stock,$10.97,-0.06,-0.544%,7013722,1892479699,United States,NA,Clothing/Shoe/Accessory Stores,Consumer Discretionary,/market-activity/stocks/aeo,2025-04-24
AEON,AEON Biopharma Inc. Class A Common Stock,$0.4399,0.0349,8.617%,640833,4633380,United States,NA,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aeon,2025-04-24
AEP,American Electric Power Company Inc. Common Stock,$107.02,-1.13,-1.045%,3202133,57031783659,United States,NA,Electric Utilities: Central,Utilities,/market-activity/stocks/aep,2025-04-24
AER,AerCap Holdings N.V. Ordinary Shares,$100.00,3,3.093%,2396843,18678322500,Netherlands,2006,Diversified Commercial Services,Consumer Discretionary,/market-activity/stocks/aer,2025-04-24
AERT,Aeries Technology Inc. Class A Ordinary Share,$0.74,0.02,2.778%,43180,32972918,United States,2021,Professional Services,Consumer Discretionary,/market-activity/stocks/aert,2025-04-24
AES,The AES Corporation Common Stock,$10.12,0.14,1.403%,10423372,7204433536,United States,NA,Electric Utilities: Central,Utilities,/market-activity/stocks/aes,2025-04-24
AESI,Atlas Energy Solutions Inc. Common Stock,$13.77,0.11,0.805%,1602958,1676360984,United States,2023,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Industrials,/market-activity/stocks/aesi,2025-04-24
AEVA,Aeva Technologies Inc. Common Stock,$6.74,0.56,9.061%,1056226,368770257,United States,NA,Auto Parts:O.E.M.,Consumer Discretionary,/market-activity/stocks/aeva,2025-04-24
AEVAW,Aeva Technologies Inc. Warrants,$0.087,6e-4,0.694%,17367,4760091,United States,NA,Auto Parts:O.E.M.,Consumer Discretionary,/market-activity/stocks/aevaw,2025-04-24
AEYE,AudioEye Inc. Common Stock,$11.49,0.57,5.22%,87316,142620131,United States,NA,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/aeye,2025-04-24
AFB,AllianceBernstein National Municipal Income Fund Inc,$10.15,0.12,1.196%,134707,0,United States,2002,Trusts Except Educational Religious and Charitable,Finance,/market-activity/stocks/afb,2025-04-24
AFBI,Affinity Bancshares Inc. Common Stock (MD),$18.61,0.2,1.086%,9278,118868193,United States,2017,Banks,Finance,/market-activity/stocks/afbi,2025-04-24
AFCG,Advanced Flower Capital Inc. Common Stock,$5.21,-0.06,-1.139%,118618,117725196,United States,2021,Real Estate,Finance,/market-activity/stocks/afcg,2025-04-24
AFG,American Financial Group Inc. Common Stock,$128.47,-1.08,-0.834%,331029,10789181158,United States,NA,Property-Casualty Insurers,Finance,/market-activity/stocks/afg,2025-04-24
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,$21.49,0.29,1.368%,6736,1804775458,United States,2019,Property-Casualty Insurers,Finance,/market-activity/stocks/afgb,2025-04-24
